"rank","personName","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female"
523,"Tony Tamer",5100,65,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
523,"Romesh T. Wadhwani",5100,75,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
523,"Hansjoerg Wyss",5100,88,"United States","Healthcare",1,21427.7,88.2,9.6,36.6,328.239523,0
523,"Denise York & family",5100,72,"United States","Sports",0,21427.7,88.2,9.6,36.6,328.239523,1
534,"Ron Baron",5000,79,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
534,"Robert Bass",5000,75,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0
534,"Dona Bertarelli",5000,55,"Switzerland","Healthcare",0,703.08243536,59.6,10.1,28.8,8.574832,1
534,"Alexander Gerko",5000,43,"United Kingdom","Finance & Investments",1,2827.113184696,60,25.5,30.6,66.834405,0
534,"Martin Haefner",5000,69,"Switzerland","Technology",0,703.08243536,59.6,10.1,28.8,8.574832,0
534,"Robert Hale, Jr.",5000,56,"United States","Telecom",1,21427.7,88.2,9.6,36.6,328.239523,0
534,"Viktor Kharitonin",5000,50,"Russia","Healthcare",1,1699.876578871,81.9,11.4,46.2,144.373535,0
534,"Kim Beom-su",5000,57,"South Korea","Technology",1,2029,94.3,15.6,33.2,51.709098,0
534,"Jane Lauder",5000,50,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1
534,"Michel Leclercq & family",5000,83,"France","Fashion & Retail",0,2715.518274227,65.6,24.2,60.7,67.059887,0
534,"George Lucas",5000,78,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
534,"Janice McNair",5000,86,"United States","Sports",0,21427.7,88.2,9.6,36.6,328.239523,1
534,"Ugur Sahin",5000,57,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0
534,"Alexandra Schoerghuber & family",5000,64,"Germany","Real Estate",0,3845.630030824,70.2,11.5,48.8,83.132799,1
534,"Thomas Straumann",5000,59,"Switzerland","Healthcare",0,703.08243536,59.6,10.1,28.8,8.574832,0
534,"Murat Ulker",5000,64,"Turkey","Food & Beverage",0,754.411708203,23.9,17.9,42.3,83.429615,0
534,"Chip Wilson",5000,66,"Canada","Fashion & Retail",1,1736.42562952,68.9,12.8,24.5,36.991981,0
552,"Jim Davis & family",4900,79,"United States","Manufacturing",1,21427.7,88.2,9.6,36.6,328.239523,0
552,"Murali Divi & family",4900,72,"India","Healthcare",1,2611,28.1,11.2,49.7,1366.417754,0
552,"Dagmar Dolby & family",4900,81,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1
552,"Tom Golisano",4900,81,"United States","Service",1,21427.7,88.2,9.6,36.6,328.239523,0
552,"Jonathan Gray",4900,53,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
552,"Bidzina Ivanishvili",4900,67,"Georgia","Finance & Investments",1,17.74319577,63.9,21.7,9.9,3.720382,0
552,"Lim Hariyanto Wijaya Sarwono",4900,94,"Indonesia","Metals & Mining",1,1119.190780753,36.3,10.2,30.1,270.203917,0
552,"Rudolf Maag",4900,77,"Switzerland","Healthcare",1,703.08243536,59.6,10.1,28.8,8.574832,0
552,"Emanuele (Lino) Saputo & family",4900,86,"Canada","Food & Beverage",0,1736.42562952,68.9,12.8,24.5,36.991981,0
552,"Mark Shoen",4900,72,"United States","Automotive",0,21427.7,88.2,9.6,36.6,328.239523,0
552,"Dan Snyder",4900,58,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
552,"Chairul Tanjung",4900,60,"Indonesia","Diversified",1,1119.190780753,36.3,10.2,30.1,270.203917,0
552,"Kelcy Warren",4900,67,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
552,"Zhang Tao",4900,50,"China","Fashion & Retail",1,19910,50.6,9.4,59.2,1397.715,0
567,"Michael Ashley",4800,58,"United Kingdom","Fashion & Retail",1,2827.113184696,60,25.5,30.6,66.834405,0
567,"Tomasz Biernacki",4800,50,"Poland","Fashion & Retail",1,592.164400688,67.8,17.4,40.8,37.970874,0
567,"Bernard Broermann",4800,79,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0
567,"Jimmy Haslam",4800,69,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
567,"H. Fisk Johnson",4800,64,"United States","Manufacturing",0,21427.7,88.2,9.6,36.6,328.239523,0
567,"S. Curtis Johnson",4800,67,"United States","Manufacturing",0,21427.7,88.2,9.6,36.6,328.239523,0
567,"Helen Johnson-Leipold",4800,66,"United States","Manufacturing",0,21427.7,88.2,9.6,36.6,328.239523,1
567,"Vinod Khosla",4800,68,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
567,"Thai Lee",4800,64,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,1
567,"Winifred J. Marquart",4800,63,"United States","Manufacturing",0,21427.7,88.2,9.6,36.6,328.239523,1
567,"Pankaj Patel",4800,70,"India","Healthcare",0,2611,28.1,11.2,49.7,1366.417754,0
567,"Yu Yong",4800,62,"China","Finance & Investments",1,19910,50.6,9.4,59.2,1397.715,0
580,"Maria Fernanda Amorim & family",4700,88,"Portugal","Diversified",0,237.686075635,63.9,22.8,39.8,10.269417,1
580,"Gayle Benson",4700,76,"United States","Sports",0,21427.7,88.2,9.6,36.6,328.239523,1
580,"Ali Erdemoglu",4700,63,"Turkey","Manufacturing",1,754.411708203,23.9,17.9,42.3,83.429615,0
580,"Andre Esteves",4700,54,"Brazil","Finance & Investments",1,1839.758040766,51.3,14.2,65.1,212.559417,0
580,"Carlo Fidani",4700,68,"Canada","Real Estate",0,1736.42562952,68.9,12.8,24.5,36.991981,0
580,"Hong Ra-hee",4700,77,"South Korea","Technology",0,2029,94.3,15.6,33.2,51.709098,1
580,"Li Gaiteng",4700,50,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
580,"Thomas Secunda",4700,68,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
580,"Zuowen Song",4700,76,"China","Diversified",1,19910,50.6,9.4,59.2,1397.715,0
580,"Tim Sweeney",4700,52,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Bert Beveridge",4600,61,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Mark Cuban",4600,64,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Charles Dolan & family",4600,96,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Jack Dorsey",4600,46,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Fan Hongwei",4600,56,"China","Energy",1,19910,50.6,9.4,59.2,1397.715,1
591,"Vladimir Kim",4600,62,"Kazakhstan","Metals & Mining",1,180.16174118,61.7,11.7,28.4,18.51393,0
591,"Ronald Lauder",4600,79,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
591,"Li Chunan",4600,54,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
591,"Forrest Li",4600,45,"Singapore","Media & Entertainment",1,372.062527489,84.8,13.1,21,5.703569,0
591,"Doug Meijer & family",4600,69,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
591,"Hank Meijer & family",4600,71,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
591,"Mark Meijer & family",4600,65,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
591,"Issad Rebrab & family",4600,79,"Algeria","Food & Beverage",1,169.988236398,51.4,37.2,66.1,43.053054,0
591,"Fred Smith",4600,78,"United States","Logistics",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Barry Sternlicht",4600,62,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Maximilian Viessmann",4600,34,"Germany","Manufacturing",0,3845.630030824,70.2,11.5,48.8,83.132799,0
591,"Russ Weiner",4600,52,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
591,"Xue Min",4600,66,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
611,"Juan Domingo Beckmann Legorreta & family",4500,55,"Mexico","Food & Beverage",0,1258.286717125,40.2,13.1,55.1,126.014024,0
611,"Dietmar Hopp & family",4500,82,"Germany","Technology",1,3845.630030824,70.2,11.5,48.8,83.132799,0
611,"Jiang Bin",4500,56,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
611,"Joseph Liemandt",4500,54,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
611,"Theo Mueller",4500,83,"Switzerland","Food & Beverage",0,703.08243536,59.6,10.1,28.8,8.574832,0
611,"N.R. Narayana Murthy",4500,76,"India","Technology",1,2611,28.1,11.2,49.7,1366.417754,0
611,"Odd Reitan & family",4500,71,"Norway","Fashion & Retail",0,403.336363636,82,23.9,36.2,5.347896,0
611,"Marc Rowan",4500,60,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
611,"Hussain Sajwani",4500,70,"United Arab Emirates","Real Estate",1,421.142267938,36.8,0.1,15.9,9.770529,0
611,"David Velez & family",4500,41,"Brazil","Finance & Investments",1,1839.758040766,51.3,14.2,65.1,212.559417,0
611,"Xu Jinfu",4500,59,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
611,"You Xiaoping & family",4500,65,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
624,"Stéphane Bancel",4400,50,"United States","Healthcare",1,21427.7,88.2,9.6,36.6,328.239523,0
624,"Margot Birmingham Perot",4400,89,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1
624,"Neal Blue & family",4400,88,"United States","Manufacturing",1,21427.7,88.2,9.6,36.6,328.239523,0
624,"Jim Davis",4400,63,"United States","Service",1,21427.7,88.2,9.6,36.6,328.239523,0
624,"Rafael Del Pino",4400,64,"Spain","Construction & Engineering",0,1394.116310769,88.9,14.2,47,47.076781,0
624,"Peter Grogg",4400,81,"Switzerland","Healthcare",1,703.08243536,59.6,10.1,28.8,8.574832,0
624,"Christian Haub",4400,58,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
624,"Mangal Prabhat Lodha",4400,67,"India","Real Estate",1,2611,28.1,11.2,49.7,1366.417754,0
624,"Jeffrey Lurie & family",4400,71,"United States","Sports",0,21427.7,88.2,9.6,36.6,328.239523,0
624,"Joe Mansueto",4400,66,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
624,"Qian Dongqi & family",4400,65,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
624,"Mikhail Shelkov",4400,54,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0
636,"Patrick Drahi",4300,59,"Switzerland","Telecom",1,703.08243536,59.6,10.1,28.8,8.574832,0
636,"Behdad Eghbali",4300,46,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
636,"Juan Carlos Escotet",4300,63,"Spain","Finance & Investments",1,1394.116310769,88.9,14.2,47,47.076781,0
636,"Jose E. Feliciano",4300,49,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
636,"Hu Kaijun",4300,61,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
636,"Johnelle Hunt",4300,91,"United States","Logistics",1,21427.7,88.2,9.6,36.6,328.239523,1
636,"Marian Ilitch",4300,90,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,1
636,"Daryl Katz",4300,61,"Canada","Diversified",1,1736.42562952,68.9,12.8,24.5,36.991981,0
636,"Andrei Kozitsyn",4300,62,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0
636,"Timur Kulibaev",4300,56,"Kazakhstan","Finance & Investments",1,180.16174118,61.7,11.7,28.4,18.51393,0
636,"Dinara Kulibaeva",4300,55,"Kazakhstan","Finance & Investments",0,180.16174118,61.7,11.7,28.4,18.51393,1
636,"Gwendolyn Sontheim Meyer",4300,61,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
636,"Jay Paul",4300,75,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0
636,"Pham Nhat Vuong",4300,54,"Vietnam","Diversified",1,261.921244843,28.5,19.1,37.6,96.462106,0
636,"Jon Stryker",4300,64,"United States","Healthcare",0,21427.7,88.2,9.6,36.6,328.239523,0
636,"Frank Wang",4300,42,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
636,"Wang Junshi & family",4300,74,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
636,"Wang Wenjing",4300,58,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
636,"Herbert Wertheim",4300,83,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
659,"Shari Arison",4200,65,"Israel","Service",0,395.098666122,63.4,23.1,25.3,9.0533,1
659,"Pyotr Aven",4200,68,"Latvia","Finance & Investments",1,34.117202555,88.1,22.9,38.1,1.912789,0
659,"Chan Laiwa & family",4200,82,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,1
659,"Chen Hua",4200,57,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,0
659,"Thomas Hagen",4200,87,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0
659,"Rupert Johnson, Jr.",4200,82,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0
659,"Dewi Kam",4200,72,"Indonesia","Energy",1,1119.190780753,36.3,10.2,30.1,270.203917,1
659,"Min Kao & family",4200,74,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
659,"Marc Ladreit de Lacharriere",4200,82,"France","Finance & Investments",1,2715.518274227,65.6,24.2,60.7,67.059887,0
659,"Eric Lefkofsky",4200,53,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
659,"Lin Bin",4200,55,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
659,"Lin Li",4200,59,"China","Finance & Investments",1,19910,50.6,9.4,59.2,1397.715,0
659,"Michael Moritz",4200,68,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
659,"Jean (Gigi) Pritzker",4200,60,"United States","Service",0,21427.7,88.2,9.6,36.6,328.239523,1
659,"E. Joe Shoen",4200,73,"United States","Automotive",0,21427.7,88.2,9.6,36.6,328.239523,0
659,"Jeff Skoll",4200,58,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
659,"Lynsi Snyder",4200,40,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
659,"Djoko Susanto",4200,73,"Indonesia","Fashion & Retail",1,1119.190780753,36.3,10.2,30.1,270.203917,0
659,"Tahir & family",4200,71,"Indonesia","Diversified",1,1119.190780753,36.3,10.2,30.1,270.203917,0
659,"Peter Thiel",4200,55,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Andrej Babis",4100,68,"Czech Republic","Food & Beverage",1,246.489245495,64.1,14.9,46.1,10.669709,0
679,"Danielle Bellon & family",4100,83,"France","Service",0,2715.518274227,65.6,24.2,60.7,67.059887,1
679,"Hubert Burda",4100,83,"Germany","Media & Entertainment",0,3845.630030824,70.2,11.5,48.8,83.132799,0
679,"Nick Caporella",4100,87,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"John Catsimatidis",4100,74,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Scott Cook",4100,70,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Luca Garavoglia",4100,54,"Italy","Food & Beverage",0,2001.244392042,61.9,24.3,59.1,60.297396,0
679,"Antti Herlin",4100,66,"Finland","Manufacturing",0,268.761201365,88.2,20.8,36.6,5.520314,0
679,"Hong Jie",4100,55,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
679,"Jeremy Jacobs, Sr. & family",4100,83,"United States","Service",0,21427.7,88.2,9.6,36.6,328.239523,0
679,"Igor Kesaev",4100,56,"Russia","Fashion & Retail",1,1699.876578871,81.9,11.4,46.2,144.373535,0
679,"Mary Alice Dorrance Malone",4100,73,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
679,"Joao Moreira Salles",4100,61,"Brazil","Diversified",0,1839.758040766,51.3,14.2,65.1,212.559417,0
679,"Walther Moreira Salles Junior",4100,66,"Brazil","Finance & Investments",0,1839.758040766,51.3,14.2,65.1,212.559417,0
679,"Arturo Moreno",4100,76,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Peter Spuhler",4100,63,"Switzerland","Manufacturing",1,703.08243536,59.6,10.1,28.8,8.574832,0
679,"Donald Sterling",4100,88,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Kerry Stokes",4100,82,"Australia","Diversified",1,1392.680589329,113.1,23,47.4,25.766605,0
679,"Ken Xie",4100,60,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
679,"Liangzhi Xie & family",4100,57,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
699,"Sid Bass",4000,80,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0
699,"Ben Chestnut",4000,48,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Elisabeth DeLuca & family",4000,75,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
699,"Guangchang Guo",4000,56,"China","Diversified",1,19910,50.6,9.4,59.2,1397.715,0
699,"Vinod Rai Gupta",4000,77,"India","Manufacturing",0,2611,28.1,11.2,49.7,1366.417754,1
699,"John Henry",4000,73,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Travis Kalanick",4000,46,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Koon Poh Keong",4000,61,"Malaysia","Manufacturing",1,364.701517788,45.1,12,38.7,32.447385,0
699,"Dan Kurzius",4000,51,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Paul Lee",4000,65,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
699,"Tobi Lutke",4000,42,"Canada","Technology",1,1736.42562952,68.9,12.8,24.5,36.991981,0
699,"Gail Miller",4000,79,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,1
699,"Rajan Mittal",4000,63,"India","Telecom",0,2611,28.1,11.2,49.7,1366.417754,0
699,"Rakesh Mittal",4000,67,"India","Telecom",0,2611,28.1,11.2,49.7,1366.417754,0
699,"Isaac Perlmutter",4000,80,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Bernard Saul, II.",4000,90,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0
699,"Shaul Shani",4000,68,"Italy","Telecom",1,2001.244392042,61.9,24.3,59.1,60.297396,0
699,"Steven Spielberg",4000,76,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
699,"Jerzy Starak",4000,75,"Poland","Healthcare",1,592.164400688,67.8,17.4,40.8,37.970874,0
699,"Torbjorn Tornqvist",4000,69,"Switzerland","Energy",1,703.08243536,59.6,10.1,28.8,8.574832,0
699,"Rufino Vigil Gonzalez",4000,74,"Mexico","Metals & Mining",1,1258.286717125,40.2,13.1,55.1,126.014024,0
699,"Zhang Daocai",4000,73,"China","Diversified",1,19910,50.6,9.4,59.2,1397.715,0
721,"Juergen Blickle",3900,76,"Germany","Manufacturing",0,3845.630030824,70.2,11.5,48.8,83.132799,0
721,"Austen Cargill, II.",3900,72,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,0
721,"James Cargill, II.",3900,73,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,0
721,"Vanich Chaiyawan",3900,91,"Thailand","Finance & Investments",1,543.649976166,49.3,14.9,29.5,69.625582,0
721,"Chen Dongsheng",3900,65,"China","Finance & Investments",1,19910,50.6,9.4,59.2,1397.715,0
721,"Mong-Koo Chung",3900,85,"South Korea","Automotive",0,2029,94.3,15.6,33.2,51.709098,0
721,"Giuseppe De'Longhi & family",3900,83,"Italy","Fashion & Retail",0,2001.244392042,61.9,24.3,59.1,60.297396,0
721,"Guenther Fielmann & family",3900,83,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0
721,"W. Herbert Hunt",3900,94,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0
721,"James Irsay",3900,63,"United States","Sports",0,21427.7,88.2,9.6,36.6,328.239523,0
721,"Marianne Liebmann",3900,69,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
721,"Jorge Moll Filho & family",3900,78,"Brazil","Healthcare",1,1839.758040766,51.3,14.2,65.1,212.559417,0
721,"Fernando Roberto Moreira Salles",3900,76,"Brazil","Diversified",0,1839.758040766,51.3,14.2,65.1,212.559417,0
721,"Pedro Moreira Salles",3900,63,"Brazil","Diversified",0,1839.758040766,51.3,14.2,65.1,212.559417,0
721,"Gabe Newell",3900,60,"United States","Gambling & Casinos",1,21427.7,88.2,9.6,36.6,328.239523,0
721,"Alfred Oetker",3900,56,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
721,"Carl Ferdinand Oetker",3900,50,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
721,"Julia Oetker",3900,44,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,1
721,"Ruan Hongliang & family",3900,62,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
721,"Mark Stevens",3900,63,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
721,"Nusli Wadia",3900,79,"India","Food & Beverage",0,2611,28.1,11.2,49.7,1366.417754,0
721,"Wu Yiling",3900,73,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
721,"Yu Renrong",3900,57,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
721,"Zhu Baoguo & family",3900,60,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
748,"Rahul Bhatia",3800,63,"India","Service",0,2611,28.1,11.2,49.7,1366.417754,0
748,"Francesco Gaetano Caltagirone",3800,80,"Italy","Construction & Engineering",1,2001.244392042,61.9,24.3,59.1,60.297396,0
748,"Barry Diller",3800,81,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Wesley Edens",3800,61,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Stephen Feinberg",3800,63,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Rakesh Gangwal",3800,69,"United States","Service",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Joseph Grendys",3800,61,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Martha Ingram & family",3800,87,"United States","Media & Entertainment",0,21427.7,88.2,9.6,36.6,328.239523,1
748,"Li Xiang",3800,41,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
748,"H. Ross Perot, Jr.",3800,64,"United States","Real Estate",0,21427.7,88.2,9.6,36.6,328.239523,0
748,"Chandru Raheja",3800,82,"India","Real Estate",0,2611,28.1,11.2,49.7,1366.417754,0
748,"Trevor Rees-Jones",3800,71,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Yasumitsu Shigeta",3800,58,"Japan","Telecom",1,5081.76954238,63.2,11.9,46.7,126.226568,0
748,"Su Qingcan",3800,54,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
748,"Steven Udvar-Hazy",3800,77,"United States","Service",1,21427.7,88.2,9.6,36.6,328.239523,0
748,"Elizabeth Uihlein",3800,77,"United States","Manufacturing",1,21427.7,88.2,9.6,36.6,328.239523,1
748,"Richard Uihlein",3800,77,"United States","Manufacturing",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Hayes Barnard",3700,51,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"William Berkley",3700,76,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Charles Cohen",3700,71,"United States","Real Estate",0,21427.7,88.2,9.6,36.6,328.239523,0
766,"Yakir Gabay",3700,56,"United Kingdom","Real Estate",1,2827.113184696,60,25.5,30.6,66.834405,0
766,"Huang Li",3700,59,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
766,"Brad Jacobs",3700,66,"United States","Logistics",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Ji Qi",3700,56,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,0
766,"Jason Jiang",3700,50,"China","Media & Entertainment",1,19910,50.6,9.4,59.2,1397.715,0
766,"Jim Kavanaugh",3700,60,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Richard LeFrak & family",3700,77,"United States","Real Estate",0,21427.7,88.2,9.6,36.6,328.239523,0
766,"Mikhail Lomtadze",3700,47,"Kazakhstan","Finance & Investments",1,180.16174118,61.7,11.7,28.4,18.51393,0
766,"Tom Morris",3700,68,"United Kingdom","Fashion & Retail",1,2827.113184696,60,25.5,30.6,66.834405,0
766,"Shigenobu Nagamori",3700,78,"Japan","Manufacturing",1,5081.76954238,63.2,11.9,46.7,126.226568,0
766,"Daniel Och",3700,62,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Horst Paulmann & family",3700,88,"Chile","Fashion & Retail",1,282.318159745,88.5,18.2,34,18.952038,0
766,"Anthony Pritzker",3700,62,"United States","Service",0,21427.7,88.2,9.6,36.6,328.239523,0
766,"John Sall",3700,75,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Howard Schultz",3700,69,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Richard Schulze",3700,82,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
766,"Yitzhak Tshuva",3700,74,"Israel","Real Estate",1,395.098666122,63.4,23.1,25.3,9.0533,0
766,"Wang Yanqing & family",3700,56,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
787,"Rajiv Bajaj",3600,56,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0
787,"Sanjiv Bajaj",3600,53,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0
787,"Leonid Boguslavsky",3600,71,"Italy","Finance & Investments",1,2001.244392042,61.9,24.3,59.1,60.297396,0
787,"Jim Coulter",3600,63,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
787,"Nicolas D'Ieteren",3600,47,"Switzerland","Automotive",0,703.08243536,59.6,10.1,28.8,8.574832,0
787,"Bob Gaglardi",3600,82,"Canada","Real Estate",1,1736.42562952,68.9,12.8,24.5,36.991981,0
787,"Jaime Gilinski Bacal",3600,65,"United Kingdom","Finance & Investments",0,2827.113184696,60,25.5,30.6,66.834405,0
787,"Alan Howard",3600,59,"Switzerland","Finance & Investments",1,703.08243536,59.6,10.1,28.8,8.574832,0
787,"Huang Yi",3600,61,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
787,"Peter Kellogg",3600,80,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0
787,"Vyacheslav Kim",3600,53,"Kazakhstan","Finance & Investments",1,180.16174118,61.7,11.7,28.4,18.51393,0
